# x_m,y_m,w_tr_right_m,w_tr_left_m
-5.0750,1.9250,0.7500,0.7500
-5.1250,1.9250,0.7500,0.7500
-5.1750,1.9250,0.7500,0.7500
-5.2250,1.9250,0.7517,0.7517
-5.2750,1.9250,0.7517,0.7517
-5.3250,1.9250,0.7433,0.7433
-5.3750,1.9250,0.7280,0.7280
-5.4250,1.9250,0.7159,0.7159
-5.4750,1.9250,0.7071,0.7071
-5.5250,1.9250,0.7018,0.7018
-5.5750,1.9250,0.7000,0.7000
-5.6250,1.9250,0.7000,0.7000
-5.6750,1.9250,0.7000,0.7000
-5.7250,1.9250,0.7000,0.7000
-5.7750,1.9750,0.7500,0.7500
-5.8250,1.9750,0.7500,0.7500
-5.8750,1.9750,0.7500,0.7500
-5.9250,1.9750,0.7500,0.7500
-5.9750,1.9750,0.7500,0.7500
-6.0250,1.9750,0.7500,0.7500
-6.0750,1.9750,0.7433,0.7433
-6.1250,1.9750,0.7280,0.7280
-6.1750,1.9750,0.7159,0.7159
-6.2250,1.9750,0.7071,0.7071
-6.2750,2.0250,0.7000,0.7000
-6.3250,2.0250,0.7000,0.7000
-6.3750,1.9750,0.7000,0.7000
-6.4250,1.9750,0.7000,0.7000
-6.4750,1.9750,0.7000,0.7000
-6.5250,1.9750,0.7000,0.7000
-6.5750,1.9750,0.6964,0.6964
-6.6250,1.9750,0.6801,0.6801
-6.6750,1.9750,0.6671,0.6671
-6.7250,1.9750,0.6576,0.6576
-6.7750,1.9750,0.6519,0.6519
-6.8250,1.9750,0.6500,0.6500
-6.8750,1.9750,0.6519,0.6519
-6.9250,1.9750,0.6576,0.6576
-6.9750,1.9750,0.6671,0.6671
-7.0250,1.9750,0.6801,0.6801
-7.0750,1.9750,0.6964,0.6964
-7.1250,1.9750,0.7071,0.7071
-7.1750,1.9750,0.7018,0.7018
-7.2250,1.9750,0.7000,0.7000
-7.2750,1.9750,0.7018,0.7018
-7.3250,1.9750,0.7000,0.7000
-7.3750,1.9750,0.7000,0.7000
-7.4250,1.9750,0.7000,0.7000
-7.4750,1.9250,0.7500,0.7500
-7.5250,1.8750,0.8000,0.8000
-7.5750,1.8750,0.8000,0.8000
-7.6250,1.8250,0.8500,0.8500
-7.6750,1.8250,0.8500,0.8500
-7.7250,1.7750,0.8860,0.8860
-7.7750,1.7750,0.8732,0.8732
-7.8250,1.7250,0.9124,0.9124
-7.8750,1.7250,0.9055,0.9055
-7.9250,1.6750,0.9513,0.9513
-7.9750,1.6750,0.9487,0.9487
-8.0250,1.6250,0.9823,0.9823
-8.0750,1.5750,1.0124,1.0124
-8.1250,1.5750,0.9962,0.9962
-8.1750,1.5250,1.0296,1.0296
-8.2250,1.5250,1.0062,1.0062
-8.2750,1.4750,1.0308,1.0308
-8.3250,1.4250,1.0595,1.0595
-8.3750,1.3750,1.0920,1.0920
-8.3750,1.3250,1.0817,1.0817
-8.4250,1.2750,1.0977,1.0977
-8.4250,1.2250,1.0735,1.0735
-8.4750,1.1750,1.0966,1.0966
-8.4750,1.1250,1.0770,1.0770
-8.4750,1.0750,1.0595,1.0595
-8.4750,1.0250,1.0440,1.0440
-8.5250,0.9750,1.0770,1.0770
-8.5250,0.9250,1.0595,1.0595
-8.5250,0.8750,1.0440,1.0440
-8.5250,0.8250,1.0308,1.0308
-8.5250,0.7750,1.0198,1.0198
-8.5250,0.7250,1.0112,1.0112
-8.5250,0.6750,1.0050,1.0050
-8.5750,0.6250,1.0512,1.0512
-8.5750,0.5750,1.0500,1.0500
-8.5750,0.5250,1.0512,1.0512
-8.5750,0.4750,1.0500,1.0500
-8.5750,0.4250,1.0500,1.0500
-8.5750,0.3750,1.0500,1.0500
-8.5750,0.3250,1.0500,1.0500
-8.6250,0.2750,1.1000,1.1000
-8.6250,0.2250,1.1000,1.1000
-8.6250,0.1750,1.1011,1.1011
-8.6250,0.1250,1.1045,1.1045
-8.6250,0.0750,1.1102,1.1102
-8.6250,0.0250,1.1180,1.1180
-8.6250,-0.0250,1.1281,1.1281
-8.6250,-0.0750,1.1402,1.1402
-8.6250,-0.1250,1.1543,1.1543
-8.6250,-0.1750,1.1597,1.1597
-8.6250,-0.2250,1.1673,1.1673
-8.6250,-0.2750,1.1769,1.1769
-8.5750,-0.3250,1.1402,1.1402
-8.5750,-0.3750,1.1543,1.1543
-8.5750,-0.4250,1.1705,1.1705
-8.5750,-0.4750,1.1769,1.1769
-8.5750,-0.5250,1.1673,1.1673
-8.5750,-0.5750,1.1597,1.1597
-8.5250,-0.6250,1.2042,1.2042
-8.4750,-0.6750,1.1927,1.1927
-8.4750,-0.7250,1.2207,1.2207
-8.4750,-0.7750,1.2258,1.2258
-8.4250,-0.8250,1.2298,1.2298
-8.3750,-0.8750,1.2083,1.2083
-8.3250,-0.9250,1.1853,1.1853
-8.2750,-0.9750,1.1543,1.1543
-8.2250,-1.0250,1.1180,1.1180
-8.1750,-1.0750,1.0794,1.0794
-8.1250,-1.1250,1.0440,1.0440
-8.0750,-1.1250,1.0595,1.0595
-8.0250,-1.1750,1.0308,1.0308
-7.9750,-1.2250,0.9962,0.9962
-7.9250,-1.2250,1.0124,1.0124
-7.8750,-1.2750,0.9823,0.9823
-7.8250,-1.2750,0.9962,0.9962
-7.7750,-1.2750,1.0124,1.0124
-7.7250,-1.3250,0.9849,0.9849
-7.6750,-1.3250,1.0062,1.0062
-7.6250,-1.3250,1.0198,1.0198
-7.5750,-1.3750,0.9823,0.9823
-7.5250,-1.3750,0.9962,0.9962
-7.4750,-1.3750,1.0000,1.0000
-7.4250,-1.4250,0.9500,0.9500
-7.3750,-1.4250,0.9500,0.9500
-7.3250,-1.4250,0.9500,0.9500
-7.2750,-1.4750,0.9000,0.9000
-7.2250,-1.4750,0.9000,0.9000
-7.1750,-1.4750,0.9000,0.9000
-7.1250,-1.4750,0.9000,0.9000
-7.0750,-1.4750,0.8860,0.8860
-7.0250,-1.4750,0.8732,0.8732
-6.9750,-1.4750,0.8631,0.8631
-6.9250,-1.4750,0.8559,0.8559
-6.8750,-1.4750,0.8515,0.8515
-6.8250,-1.4750,0.8500,0.8500
-6.7750,-1.4750,0.8500,0.8500
-6.7250,-1.4750,0.8500,0.8500
-6.6750,-1.4250,0.8246,0.8246
-6.6250,-1.4250,0.8139,0.8139
-6.5750,-1.4250,0.8062,0.8062
-6.5250,-1.4250,0.8016,0.8016
-6.4750,-1.4250,0.8000,0.8000
-6.4250,-1.4250,0.8000,0.8000
-6.3750,-1.4250,0.8000,0.8000
-6.3250,-1.4250,0.8000,0.8000
-6.2750,-1.4250,0.8016,0.8016
-6.2250,-1.4250,0.8062,0.8062
-6.1750,-1.3750,0.7649,0.7649
-6.1250,-1.3750,0.7762,0.7762
-6.0750,-1.3750,0.7906,0.7906
-6.0250,-1.3750,0.8000,0.8000
-5.9750,-1.3750,0.8000,0.8000
-5.9250,-1.3750,0.8000,0.8000
-5.8750,-1.3750,0.8000,0.8000
-5.8250,-1.3250,0.7500,0.7500
-5.7750,-1.3250,0.7500,0.7500
-5.7250,-1.3250,0.7517,0.7517
-5.6750,-1.3250,0.7566,0.7566
-5.6250,-1.2750,0.7159,0.7159
-5.5750,-1.2750,0.7280,0.7280
-5.5250,-1.2750,0.7433,0.7433
-5.4750,-1.2750,0.7500,0.7500
-5.4250,-1.2750,0.7500,0.7500
-5.3750,-1.2750,0.7500,0.7500
-5.3250,-1.2250,0.7000,0.7000
-5.2750,-1.2250,0.7000,0.7000
-5.2250,-1.2250,0.7000,0.7000
-5.1750,-1.1750,0.6500,0.6500
-5.1250,-1.1750,0.6519,0.6519
-5.0750,-1.1750,0.6576,0.6576
-5.0250,-1.1750,0.6671,0.6671
-4.9750,-1.1750,0.6801,0.6801
-4.9250,-1.1750,0.6964,0.6964
-4.8750,-1.1750,0.6801,0.6801
-4.8250,-1.1250,0.6671,0.6671
-4.7750,-1.1250,0.6801,0.6801
-4.7250,-1.1250,0.6801,0.6801
-4.6750,-1.0750,0.6708,0.6708
-4.6250,-1.0750,0.6946,0.6946
-4.5750,-1.0750,0.6708,0.6708
-4.5250,-1.0250,0.6946,0.6946
